"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2020","12,485.4","12,293.9","12,507.9","12,282.0","","0.97%"
"09/28/2020","12,677.5","12,485.4","12,735.2","12,485.4","","1.54%"
"09/29/2020","12,602.6","12,677.5","12,688.7","12,562.5","","-0.59%"
"09/30/2020","12,701.9","12,602.6","12,795.6","12,602.6","","0.79%"
"10/01/2020","12,726.8","12,701.9","12,792.6","12,656.3","","0.20%"
"10/02/2020","12,749.8","12,726.8","12,803.5","12,552.0","","0.18%"
"10/05/2020","12,949.6","12,749.8","12,957.6","12,749.8","","1.57%"
"10/06/2020","12,837.9","12,949.6","13,083.3","12,824.2","","-0.86%"
"10/07/2020","13,042.3","12,837.9","13,073.0","12,837.9","","1.59%"
"10/08/2020","13,190.6","13,042.3","13,191.0","13,042.3","","1.14%"
"10/09/2020","13,252.6","13,190.6","13,297.0","13,190.6","","0.47%"
"10/12/2020","13,324.9","13,252.6","13,350.6","13,252.6","","0.55%"
"10/13/2020","13,212.0","13,324.9","13,324.9","13,181.6","","-0.85%"
"10/14/2020","13,143.2","13,212.0","13,267.2","13,135.9","","-0.52%"
"10/15/2020","13,137.2","13,143.2","13,148.7","12,961.0","","-0.05%"
"10/16/2020","13,169.3","13,137.2","13,241.5","13,137.2","","0.24%"
"10/19/2020","13,018.5","13,169.3","13,247.8","12,999.4","","-1.15%"
"10/20/2020","13,092.2","13,018.5","13,198.0","13,018.5","","0.57%"
"10/21/2020","13,040.1","13,092.2","13,153.4","13,039.4","","-0.40%"
"10/22/2020","13,145.9","13,040.1","13,162.8","13,003.0","","0.81%"
"10/23/2020","13,199.9","13,145.9","13,215.6","13,117.8","","0.41%"
"10/26/2020","12,936.4","13,199.9","13,199.9","12,815.3","","-2.00%"
"10/27/2020","12,817.9","12,936.4","12,936.4","12,817.9","","-0.92%"
"10/28/2020","12,415.4","12,817.9","12,817.9","12,411.1","","-3.14%"
"10/29/2020","12,502.3","12,415.4","12,584.5","12,317.8","","0.70%"
"10/30/2020","12,429.3","12,502.3","12,502.3","12,293.8","","-0.58%"
"11/02/2020","12,662.2","12,429.3","12,675.1","12,429.3","","1.87%"
"11/03/2020","12,877.5","12,662.2","12,936.9","12,662.2","","1.70%"
"11/04/2020","12,979.0","12,877.5","13,161.5","12,868.6","","0.79%"
"11/05/2020","13,199.1","12,979.0","13,252.8","12,979.0","","1.70%"
"11/06/2020","13,218.7","13,199.1","13,270.5","13,188.2","","0.15%"
"11/09/2020","13,611.6","13,218.7","13,930.9","13,218.7","","2.97%"
"11/10/2020","13,708.0","13,611.6","13,732.6","13,577.0","","0.71%"
"11/11/2020","13,724.8","13,708.0","13,779.9","13,669.9","","0.12%"
"11/12/2020","13,551.5","13,724.8","13,724.8","13,476.2","","-1.26%"
"11/13/2020","13,761.3","13,551.5","13,787.7","13,551.5","","1.55%"
"11/16/2020","13,982.2","13,761.3","13,985.5","13,761.3","","1.61%"
"11/17/2020","13,949.1","13,982.2","13,989.3","13,818.8","","-0.24%"
"11/18/2020","13,808.6","13,949.1","14,004.6","13,808.4","","-1.01%"
"11/19/2020","13,863.2","13,808.6","13,871.3","13,714.3","","0.40%"
"11/20/2020","13,827.0","13,863.2","13,883.5","13,810.2","","-0.26%"
"11/23/2020","13,998.2","13,827.0","14,029.3","13,827.0","","1.24%"
"11/24/2020","14,249.5","13,998.2","14,271.1","13,998.2","","1.80%"
"11/25/2020","14,191.6","14,249.5","14,249.5","14,122.1","","-0.41%"
"11/27/2020","14,198.5","14,191.6","14,229.1","14,165.7","","0.05%"
"11/30/2020","14,006.5","14,198.5","14,198.5","13,977.0","","-1.35%"
"12/01/2020","14,146.6","14,006.5","14,233.5","14,006.5","","1.00%"
"12/02/2020","14,188.2","14,146.6","14,198.8","14,076.7","","0.29%"
"12/03/2020","14,217.2","14,188.2","14,283.7","14,184.5","","0.20%"
"12/04/2020","14,417.3","14,217.2","14,417.4","14,217.2","","1.41%"
"12/07/2020","14,355.0","14,417.3","14,417.3","14,314.5","","-0.43%"
"12/08/2020","14,402.2","14,355.0","14,425.0","14,304.1","","0.33%"
"12/09/2020","14,374.1","14,402.2","14,476.7","14,293.3","","-0.20%"
