"Date","Price","Open","High","Low","Change %"
"07/17/2020","0.1450","0.1550","0.1550","0.1420","-1.36%"
"07/20/2020","0.1470","0.1420","0.1570","0.1420","1.38%"
"07/21/2020","0.1450","0.1600","0.1600","0.1420","-1.36%"
"07/22/2020","0.1420","0.1570","0.1570","0.1400","-2.07%"
"07/23/2020","0.1400","0.1420","0.1450","0.1400","-1.41%"
"07/24/2020","0.1420","0.1450","0.1450","0.1420","1.43%"
"07/27/2020","0.1450","0.1570","0.1570","0.1400","2.11%"
"07/28/2020","0.1370","0.1570","0.1570","0.1340","-5.52%"
"07/29/2020","0.1290","0.1520","0.1520","0.1270","-5.84%"
"07/30/2020","0.1170","0.1420","0.1420","0.1140","-9.30%"
"07/31/2020","0.1170","0.1320","0.1320","0.1120","0.00%"
"08/03/2020","0.1190","0.1290","0.1290","0.1120","1.71%"
"08/04/2020","0.1190","0.1340","0.1400","0.1170","0.00%"
"08/05/2020","0.1240","0.1320","0.1340","0.1170","4.20%"
"08/06/2020","0.1270","0.1420","0.1450","0.1220","2.42%"
"08/07/2020","0.1290","0.1420","0.1450","0.1240","1.57%"
"08/10/2020","0.1320","0.1290","0.1400","0.1270","2.33%"
"08/11/2020","0.1420","0.1340","0.1550","0.1340","7.58%"
"08/12/2020","0.1400","0.1570","0.1570","0.1400","-1.41%"
"08/13/2020","0.1420","0.1620","0.1620","0.1400","1.43%"
"08/14/2020","0.1340","0.1620","0.1620","0.1340","-5.63%"
"08/17/2020","0.1270","0.1470","0.1470","0.1240","-5.22%"
"08/18/2020","0.1270","0.1270","0.1420","0.1240","0.00%"
"08/19/2020","0.1240","0.1270","0.1420","0.1240","-2.36%"
"08/20/2020","0.1240","0.1420","0.1420","0.1220","0.00%"
"08/21/2020","0.1270","0.1370","0.1370","0.1190","2.42%"
"08/24/2020","0.1290","0.1290","0.1400","0.1270","1.57%"
"08/25/2020","0.1290","0.1400","0.1400","0.1270","0.00%"
"08/26/2020","0.1240","0.1450","0.1450","0.1240","-3.88%"
"08/27/2020","0.1290","0.1420","0.1420","0.1190","4.03%"
"08/28/2020","0.1190","0.1290","0.1470","0.1170","-7.75%"
"08/31/2020","0.1220","0.1220","0.1370","0.1190","2.52%"
"09/01/2020","0.1220","0.1340","0.1340","0.1220","0.00%"
"09/02/2020","0.1240","0.1290","0.1290","0.1190","1.64%"
"09/03/2020","0.1190","0.1320","0.1320","0.1170","-4.03%"
"09/04/2020","0.1290","0.1240","0.1320","0.1190","8.40%"
"09/08/2020","0.1370","0.1320","0.1400","0.1290","6.20%"
"09/09/2020","0.1370","0.1500","0.1500","0.1370","0.00%"
"09/10/2020","0.1400","0.1400","0.1450","0.1370","2.19%"
"09/11/2020","0.1370","0.1400","0.1470","0.1340","-2.14%"
"09/14/2020","0.1320","0.1450","0.1450","0.1320","-3.65%"
"09/15/2020","0.1290","0.1550","0.1550","0.1290","-2.27%"
"09/16/2020","0.1240","0.1290","0.1400","0.1220","-3.88%"
"09/17/2020","0.1190","0.1340","0.1340","0.1190","-4.03%"
"09/18/2020","0.1220","0.1220","0.1320","0.1190","2.52%"
"09/21/2020","0.1190","0.1340","0.1340","0.1170","-2.46%"
"09/22/2020","0.1220","0.1290","0.1290","0.1190","2.52%"
"09/23/2020","0.1190","0.1290","0.1290","0.1190","-2.46%"
"09/24/2020","0.1220","0.1240","0.1290","0.1190","2.52%"
"09/25/2020","0.1190","0.1240","0.1290","0.1170","-2.46%"
"09/28/2020","0.1190","0.1290","0.1290","0.1190","0.00%"
"09/29/2020","0.1170","0.1270","0.1290","0.1170","-1.68%"
"09/30/2020","0.1190","0.1240","0.1240","0.1120","1.71%"
"10/01/2020","0.1170","0.1240","0.1290","0.1170","-1.68%"
"10/02/2020","0.1170","0.1220","0.1270","0.1140","0.00%"
"10/05/2020","0.1240","0.1220","0.1290","0.1190","5.98%"
"10/06/2020","0.1240","0.1270","0.1340","0.1220","0.00%"
"10/07/2020","0.1320","0.1400","0.1450","0.1290","6.45%"
"10/08/2020","0.1320","0.1340","0.1340","0.1270","0.00%"
"10/09/2020","0.1340","0.1340","0.1400","0.1290","1.52%"
"10/13/2020","0.1290","0.1340","0.1420","0.1290","-3.73%"
"10/14/2020","0.1270","0.1320","0.1340","0.1270","-1.55%"
"10/15/2020","0.1270","0.1320","0.1370","0.1220","0.00%"
"10/16/2020","0.1270","0.1270","0.1320","0.1240","0.00%"
"10/19/2020","0.1320","0.1370","0.1370","0.1290","3.94%"
"10/20/2020","0.1270","0.1370","0.1370","0.1270","-3.79%"
"10/21/2020","0.1290","0.1370","0.1370","0.1240","1.57%"
"10/22/2020","0.1270","0.1270","0.1320","0.1240","-1.55%"
"10/23/2020","0.1270","0.1290","0.1370","0.1240","0.00%"
"10/26/2020","0.1240","0.1270","0.1340","0.1240","-2.36%"
"10/27/2020","0.1220","0.1320","0.1320","0.1190","-1.61%"
"10/28/2020","0.1220","0.1290","0.1320","0.1190","0.00%"
"10/29/2020","0.1270","0.1220","0.1290","0.1220","4.10%"
"10/30/2020","0.1270","0.1320","0.1450","0.1240","0.00%"
"11/02/2020","0.1220","0.1340","0.1370","0.1190","-3.94%"
"11/03/2020","0.1190","0.1420","0.1420","0.1190","-2.46%"
"11/04/2020","0.1240","0.1370","0.1420","0.1220","4.20%"
"11/05/2020","0.1220","0.1420","0.1420","0.1220","-1.61%"
"11/06/2020","0.1240","0.1320","0.1320","0.1220","1.64%"
"11/09/2020","0.1270","0.1340","0.1340","0.1270","2.42%"
"11/10/2020","0.1240","0.1270","0.1340","0.1190","-2.36%"
"11/11/2020","0.1243","0.1243","0.1243","0.1243","0.24%"
"11/12/2020","0.1190","0.1240","0.1290","0.1190","-4.26%"
"11/13/2020","0.1220","0.1290","0.1290","0.1220","2.52%"
"11/16/2020","0.1170","0.1320","0.1320","0.1140","-4.10%"
"11/17/2020","0.1120","0.1270","0.1270","0.1120","-4.27%"
"11/18/2020","0.1090","0.1140","0.1320","0.1090","-2.68%"
"11/19/2020","0.1040","0.1190","0.1190","0.1010","-4.59%"
"11/20/2020","0.1010","0.1140","0.1170","0.1010","-2.88%"
"11/23/2020","0.1040","0.1090","0.1140","0.1040","2.97%"
"11/24/2020","0.1070","0.1060","0.1170","0.1040","2.88%"
"11/25/2020","0.1070","0.1220","0.1220","0.1040","0.00%"
"11/26/2020","0.1065","0.1065","0.1065","0.1065","-0.47%"
"11/27/2020","0.1070","0.1060","0.1090","0.1040","0.47%"
"11/30/2020","0.1070","0.1140","0.1140","0.1040","0.00%"
"12/01/2020","0.1070","0.1090","0.1190","0.1040","0.00%"
"12/02/2020","0.1120","0.1140","0.1270","0.1090","4.67%"
"12/03/2020","0.1070","0.1120","0.1220","0.1040","-4.46%"
"12/04/2020","0.1040","0.1060","0.1170","0.1040","-2.80%"
"12/07/2020","0.1040","0.1170","0.1170","0.1010","0.00%"
"12/08/2020","0.1070","0.1010","0.1120","0.1010","2.88%"
"12/09/2020","0.1010","0.1040","0.1140","0.1010","-5.61%"
"12/10/2020","0.0990","0.1010","0.1120","0.0990","-1.98%"
"12/11/2020","0.0860","0.1060","0.1060","0.0860","-13.13%"
"12/14/2020","0.0890","0.0960","0.0960","0.0860","3.49%"
"12/15/2020","0.0910","0.0890","0.0960","0.0860","2.25%"
"12/16/2020","0.0890","0.0990","0.0990","0.0890","-2.20%"
"12/17/2020","0.0940","0.0960","0.0990","0.0890","5.62%"
"12/18/2020","0.0910","0.0960","0.1040","0.0910","-3.19%"
"12/21/2020","0.0910","0.0960","0.1010","0.0890","0.00%"
"12/22/2020","0.0890","0.0940","0.1010","0.0890","-2.20%"
"12/23/2020","0.0910","0.0960","0.1040","0.0890","2.25%"
"12/24/2020","0.0960","0.0940","0.1060","0.0910","5.49%"
"12/28/2020","0.1040","0.1010","0.1220","0.0960","8.33%"
"12/29/2020","0.1070","0.1040","0.1140","0.1010","2.88%"
"12/30/2020","0.1120","0.1220","0.1220","0.1120","4.67%"
"12/31/2020","0.1120","0.1120","0.1190","0.1090","0.00%"
